MSFT
AAPL
GOOGL
AMZN
NVDA
META
BRK-B
LLY
TSLA
V
AVGO
NVO
JPM
SPY
UNH
WMT
MA
XOM
JNJ
PG
HD
ASML
BND
COST
MRK
ORCL
ABBV
CVX
ADBE
CRM
AMD
BAC
KO
NFLX
PEP
QQQ
ACN
MCD
TMO
AZN
CSCO
ABT
LIN
TMUS
CMCSA
WFC
INTC
VZ
DHR
INTU
DIS
PDD
AMGN
IBM
QCOM
NKE
NOW
CAT
BX
PFE
UNP
AXP
TXN
GE
MS
SPGI
PM
AMAT
UBER
HON
ISRG
COP
RTX
BA
SYK
T
GS
BKNG
LOW
UPS
NEE
PLD
MDT
ELV
BLK
SCHW
VRTX
DE
C
LRCX
TJX
PANW
SBUX
PGR
LMT
REGN
MDLZ
ADP
BMY
CB
GILD
MU
ETN
CVS
ADI
MMC
BSX
ABNB
AMT
CI
MELI
ZTS
FI
HCA
SNPS
ANET
KLAC
ITW
CDNS
SHW
EQIX
KKR
WDAY
SO
WM
CME
DUK
ICE
ARM
GD
MCO
MO
CSX
SLB
MAR
CRWD
BDX
CL
PYPL
NOC
MCK
EOG
CMG
USB
TEAM
SNOW
TGT
PSX
SCCO
CTAS
MPC
TDG
ORLY
APH
FDX
PNC
AON
PH
TT
DELL
MRVL
GLD
EPD
ROP
FCX
LULU
MNST
APO
APD
ECL
CHTR
ADSK
NXPI
RSG
PXD
NSC
GM
MSI
MMM
PCAR
EMR
SPG
COF
MET
TFC
CRH
OXY
AJG
PSA
FTNT
AFL
CARR
HLT
AIG
TRV
ET
WELL
AZO
EW
DHI
MSCI
VLO
EL
ROST
F
CCI
COR
DXCM
HUM
CPRT
MCHP
NUE
KHC
STZ
O
SRE
GWW
KDP
TEL
PAYX
DLR
HES
PCG
ODFL
IDXX
SPOT
WMB
BK
URI
LEN
DASH
AEP
NU
DDOG
KMB
SYY
ALL
CNC
SQ
NEM
OKE
KVUE
HSY
LHX
FAST
CEG
AMP
CTSH
MPLX
MRNA
D
FERG
A
IQV
PRU
DOW
KMI
ARES
AME
EA
IBKR
FIS
GIS
LVS
YUM
OTIS
IT
JCI
BIIB
VRSK
PLTR
ZS
GPN
EXC
CSGP
CMI
TTD
GEHC
